"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
37,110.2288177890,-7.5392930271,305,51.696,1861.1,51.704,1863.2,1.0,1.8%,1
38,110.2292862036,-7.5392932652,305.234,51.696,1912.7,51.696,1914.9,0.3,0.5%,1
39,110.2297546181,-7.5392935029,305.66,51.696,1964.4,51.698,1966.6,0.5,0.8%,1
40,110.2302230327,-7.5392937401,306.107,51.696,2016.1,51.698,2018.3,0.5,0.9%,1
41,110.2306914473,-7.5392939767,309.243,51.696,2067.8,51.791,2070.1,3.5,6.1%,1
42,110.2311598618,-7.5392942129,312.176,51.696,2119.5,51.779,2121.9,3.2,5.7%,1
43,110.2316282764,-7.5392944486,313.862,51.696,2171.2,51.723,2173.6,1.9,3.3%,1
44,110.2320966910,-7.5392946837,316.096,51.696,2222.9,51.744,2225.3,2.5,4.3%,1
45,110.2325651055,-7.5392949184,318.108,51.696,2274.6,51.735,2277.1,2.2,3.9%,1
46,110.2330335201,-7.5392951525,318.463,51.696,2326.3,51.697,2328.8,0.4,0.7%,1
47,110.2335019347,-7.5392953862,318.575,51.696,2378,51.696,2380.5,0.1,0.2%,1
48,110.2339703492,-7.5392956193,316.379,51.696,2429.7,51.743,2432.2,2.4,4.2%,1
49,110.2344387638,-7.5392958520,315.476,51.696,2481.4,51.704,2483.9,1.0,1.7%,1
50,110.2349071784,-7.5392960841,313.644,51.696,2533.1,51.728,2535.6,2.0,3.5%,1
51,110.2353755929,-7.5392963158,312.95,51.696,2584.8,51.701,2587.3,0.8,1.3%,1
52,110.2358440075,-7.5392965469,309.98,51.696,2636.5,51.781,2639.1,3.3,5.7%,1
53,110.2363124221,-7.5392967776,309.083,51.696,2688.2,51.704,2690.8,1.0,1.7%,1
54,110.2367808367,-7.5392970077,308.276,51.696,2739.9,51.702,2742.5,0.9,1.6%,1
55,110.2372492512,-7.5392972374,307.424,51.696,2791.6,51.703,2794.2,0.9,1.6%,1
56,110.2377176658,-7.5392974665,305.847,51.696,2843.3,51.72,2845.9,1.7,3.1%,1
57,110.2381860804,-7.5392976952,303.119,51.696,2895,51.768,2897.7,3.0,5.3%,1
58,110.2386544950,-7.5392979233,300.445,51.696,2946.7,51.765,2949.5,3.0,5.2%,1
59,110.2391229095,-7.5392981509,299.556,51.696,2998.4,51.704,3001.2,1.0,1.7%,1
60,110.2395913241,-7.5392983781,299.302,51.696,3050.1,51.697,3052.9,0.3,0.5%,1
61,110.2400597387,-7.5392986047,295.623,51.696,3101.8,51.827,3104.7,4.1,7.1%,1
62,110.2405281533,-7.5392988309,285.069,51.696,3153.4,52.762,3157.5,11.5,20.4%,1
63,110.2409965678,-7.5392990565,278.844,51.696,3205.1,52.069,3209.5,6.9,12.0%,1
64,110.2414649824,-7.5392992816,277.764,51.696,3256.8,51.707,3261.2,1.2,2.1%,1
65,110.2419333970,-7.5392995063,280.985,51.696,3308.5,51.796,3313,3.6,6.2%,1
66,110.2424018116,-7.5392997304,290.877,51.696,3360.2,52.634,3365.7,10.8,19.1%,1
67,110.2428702261,-7.5392999540,302.158,51.696,3411.9,52.912,3418.6,12.3,21.8%,1
68,110.2433386407,-7.5393001771,305.991,51.696,3463.6,51.838,3470.4,4.2,7.4%,1
69,110.2438070553,-7.5393003998,304.108,51.696,3515.3,51.73,3522.2,2.1,3.6%,1
70,110.2442754699,-7.5393006219,298.483,51.696,3567,52.001,3574.2,6.2,10.9%,1
71,110.2447438845,-7.5393008435,293.222,51.696,3618.7,51.963,3626.1,5.8,10.2%,1
72,110.2452122990,-7.5393010646,299.988,51.696,3670.4,52.137,3678.3,7.5,13.1%,1
73,110.2456807136,-7.5393012852,306.57,51.696,3722.1,52.113,3730.4,7.3,12.7%,1
74,110.2461491282,-7.5393015054,311.137,51.696,3773.8,51.897,3782.3,5.0,8.8%,1
75,110.2466175428,-7.5393017250,311.6,51.696,3825.5,51.698,3834,0.5,0.9%,1
76,110.2470859574,-7.5393019441,310.752,51.696,3877.2,51.703,3885.7,0.9,1.6%,1
77,110.2475543719,-7.5393021627,313.186,51.696,3928.9,51.753,3937.4,2.7,4.7%,1
78,110.2480227865,-7.5393023808,310.386,51.696,3980.6,51.772,3989.2,3.1,5.4%,1
79,110.2484912011,-7.5393025984,307.201,51.696,4032.3,51.794,4041,3.5,6.2%,1
80,110.2489596157,-7.5393028155,306.224,51.696,4084,51.705,4092.7,1.1,1.9%,1
81,110.2494280303,-7.5393030321,313.284,51.696,4135.7,52.176,4144.9,7.8,13.7%,1
82,110.2498964449,-7.5393032483,317.892,51.696,4187.4,51.901,4196.8,5.1,8.9%,1
83,110.2503648595,-7.5393034639,325.916,51.696,4239.1,52.315,4249.1,8.8,15.5%,1
84,110.2508332740,-7.5393036790,332.492,51.696,4290.8,52.113,4301.2,7.3,12.7%,1
85,110.2513016886,-7.5393038936,341.263,51.696,4342.5,52.435,4353.6,9.6,17.0%,1
86,110.2517701032,-7.5393041077,348.554,51.696,4394.1,52.207,4405.8,8.0,14.1%,1
87,110.2522385178,-7.5393043213,351.592,51.696,4445.8,51.785,4457.6,3.4,5.9%,1
88,110.2527069324,-7.5393045344,354.865,51.696,4497.5,51.799,4509.4,3.6,6.3%,1
89,110.2531753470,-7.5393047470,360.005,51.696,4549.2,51.951,4561.4,5.7,9.9%,1
90,110.2536437616,-7.5393049591,365.905,51.696,4600.9,52.031,4613.4,6.5,11.4%,1
91,110.2541121762,-7.5393051707,370.607,51.696,4652.6,51.909,4665.3,5.2,9.1%,1
92,110.2545805907,-7.5393053817,373.981,51.696,4704.3,51.806,4717.1,3.7,6.5%,1
93,110.2550490053,-7.5393055923,375.735,51.696,4756,51.726,4768.8,1.9,3.4%,1
94,110.2555174199,-7.5393058024,371.479,51.696,4807.7,51.871,4820.7,4.7,8.2%,1
95,110.2559858345,-7.5393060120,367.625,51.696,4859.4,51.839,4872.6,4.3,7.5%,1
96,110.2564542491,-7.5393062211,366.882,51.696,4911.1,51.701,4924.3,0.8,1.4%,1
97,110.2569226637,-7.5393064297,365.117,51.696,4962.8,51.726,4976,2.0,3.4%,1
98,110.2573910783,-7.5393066378,362.392,51.696,5014.5,51.768,5027.8,3.0,5.3%,1
99,110.2578594929,-7.5393068454,361.79,51.696,5066.2,51.699,5079.5,0.7,1.2%,1
100,110.2583279075,-7.5393070524,364.951,51.696,5117.9,51.792,5131.2,3.5,6.1%,1
101,110.2587963221,-7.5393072590,365.663,51.696,5169.6,51.701,5182.9,0.8,1.4%,1
102,110.2592647367,-7.5393074651,364.16,51.696,5221.3,51.718,5234.7,1.7,2.9%,1
103,110.2597331513,-7.5393076707,364.985,51.696,5273,51.702,5286.4,0.9,1.6%,1
104,110.2602015659,-7.5393078757,365.34,51.696,5324.7,51.697,5338.1,0.4,0.7%,1
105,110.2606699805,-7.5393080803,369.506,51.696,5376.4,51.863,5389.9,4.6,8.1%,1
106,110.2611383950,-7.5393082844,371.519,51.696,5428.1,51.735,5441.7,2.2,3.9%,1
107,110.2616068096,-7.5393084880,370.773,51.696,5479.8,51.701,5493.4,0.8,1.4%,1
108,110.2620752242,-7.5393086910,368.213,51.696,5531.5,51.759,5545.1,2.8,5.0%,1
109,110.2625436388,-7.5393088936,363.311,51.696,5583.2,51.928,5597,5.4,9.5%,1
110,110.2630120534,-7.5393090957,362.509,51.696,5634.9,51.702,5648.8,0.9,1.6%,1
111,110.2634804680,-7.5393092972,361.198,51.696,5686.5,51.712,5700.5,1.5,2.5%,1
112,110.2639488826,-7.5393094983,359.27,51.696,5738.2,51.732,5752.2,2.1,3.7%,1
113,110.2644172972,-7.5393096989,358.923,51.696,5789.9,51.697,5803.9,0.4,0.7%,1
114,110.2648857118,-7.5393098989,359.969,51.696,5841.6,51.706,5855.6,1.2,2.0%,1
115,110.2653541264,-7.5393100985,359.351,51.696,5893.3,51.7,5907.3,0.7,1.2%,1
116,110.2658225410,-7.5393102975,358.039,51.696,5945,51.713,5959,1.5,2.5%,1
117,110.2662909556,-7.5393104961,359.3,51.696,5996.7,51.711,6010.7,1.4,2.4%,1
118,110.2667593702,-7.5393106942,360.025,51.696,6048.4,51.701,6062.4,0.8,1.4%,1
119,110.2672277848,-7.5393108917,362.01,51.696,6100.1,51.734,6114.2,2.2,3.8%,1
120,110.2676961994,-7.5393110888,362.141,51.696,6151.8,51.696,6165.9,0.1,0.3%,1
121,110.2681646140,-7.5393112853,363.265,51.696,6203.5,51.708,6217.6,1.2,2.2%,1
122,110.2686330286,-7.5393114814,365.998,51.696,6255.2,51.768,6269.3,3.0,5.3%,1
123,110.2691014432,-7.5393116769,367.609,51.696,6306.9,51.721,6321.1,1.8,3.1%,1
124,110.2695698579,-7.5393118720,370.144,51.696,6358.6,51.758,6372.8,2.8,4.9%,1
125,110.2700382725,-7.5393120665,371.887,51.696,6410.3,51.725,6424.5,1.9,3.4%,1
126,110.2705066871,-7.5393122606,371.084,51.696,6462,51.702,6476.2,0.9,1.6%,1
127,110.2709751017,-7.5393124541,373.035,51.696,6513.7,51.733,6528,2.2,3.8%,1
128,110.2714435163,-7.5393126471,373.329,51.696,6565.4,51.697,6579.7,0.3,0.6%,1
129,110.2719119309,-7.5393128397,372.526,51.696,6617.1,51.702,6631.4,0.9,1.6%,1
130,110.2723803455,-7.5393130317,372.569,51.696,6668.8,51.696,6683.1,0.0,0.1%,1
131,110.2728487601,-7.5393132233,374.376,51.696,6720.5,51.727,6734.8,2.0,3.5%,1
132,110.2733171747,-7.5393134143,374.974,51.696,6772.2,51.699,6786.5,0.7,1.2%,1
133,110.2737855893,-7.5393136048,375.57,51.696,6823.9,51.699,6838.2,0.7,1.2%,1
134,110.2742540039,-7.5393137949,375.793,51.696,6875.6,51.696,6889.9,0.2,0.4%,1
135,110.2747224185,-7.5393139844,374.469,51.696,6927.2,51.713,6941.6,1.5,2.6%,1
136,110.2751908331,-7.5393141734,373.147,51.696,6978.9,51.713,6993.3,1.5,2.6%,1
137,110.2756592477,-7.5393143620,376.278,51.696,7030.6,51.791,7045.1,3.5,6.1%,1
138,110.2761276624,-7.5393145500,379,51.696,7082.3,51.767,7096.9,3.0,5.3%,1
139,110.2765960770,-7.5393147375,379.398,51.696,7134,51.697,7148.6,0.4,0.8%,1
140,110.2770644916,-7.5393149245,380.197,51.696,7185.7,51.702,7200.3,0.9,1.5%,1
141,110.2775329062,-7.5393151111,384.534,51.696,7237.4,51.878,7252.1,4.8,8.4%,1
142,110.2780013208,-7.5393152971,383.73,51.696,7289.1,51.702,7303.8,0.9,1.6%,1
143,110.2784697354,-7.5393154826,383.273,51.696,7340.8,51.698,7355.5,0.5,0.9%,1
144,110.2789381500,-7.5393156676,382.177,51.696,7392.5,51.707,7407.3,1.2,2.1%,1
145,110.2794065646,-7.5393158521,386.055,51.696,7444.2,51.841,7459.1,4.3,7.5%,1
146,110.2798749792,-7.5393160362,389.625,51.696,7495.9,51.819,7510.9,4.0,6.9%,1
147,110.2803433939,-7.5393162197,392.356,51.696,7547.6,51.768,7562.7,3.0,5.3%,1
148,110.2808118085,-7.5393164027,397.342,51.696,7599.3,51.936,7614.6,5.5,9.6%,1
149,110.2812802231,-7.5393165852,400.148,51.696,7651,51.772,7666.4,3.1,5.4%,1
150,110.2817486377,-7.5393167672,401.841,51.696,7702.7,51.724,7718.1,1.9,3.3%,1
151,110.2822170523,-7.5393169487,400.478,51.696,7754.4,51.714,7769.8,1.5,2.6%,1
152,110.2826854669,-7.5393171297,399.82,51.696,7806.1,51.7,7821.5,0.7,1.3%,1
153,110.2831538815,-7.5393173102,401.354,51.696,7857.8,51.719,7873.2,1.7,3.0%,1
154,110.2836222962,-7.5393174902,402.521,51.696,7909.5,51.709,7925,1.3,2.3%,1
155,110.2840907108,-7.5393176697,402,51.696,7961.2,51.699,7976.7,0.6,1.0%,1
156,110.2845591254,-7.5393178487,401.268,51.696,8012.9,51.701,8028.4,0.8,1.4%,1
157,110.2850275400,-7.5393180272,403.099,51.696,8064.6,51.728,8080.1,2.0,3.5%,1
158,110.2854959546,-7.5393182052,404,51.696,8116.3,51.704,8131.8,1.0,1.7%,1
159,110.2859643692,-7.5393183827,406.183,51.696,8167.9,51.742,8183.5,2.4,4.2%,1
160,110.2864327839,-7.5393185597,407.46,51.696,8219.6,51.712,8235.2,1.4,2.5%,1
161,110.2869011985,-7.5393187362,405.774,51.696,8271.3,51.723,8287,1.9,3.3%,1
162,110.2873696131,-7.5393189122,406.849,51.696,8323,51.707,8338.7,1.2,2.1%,1
163,110.2878380277,-7.5393190877,410.217,51.696,8374.7,51.805,8390.5,3.7,6.5%,1
164,110.2883064423,-7.5393192627,411.903,51.696,8426.4,51.723,8442.2,1.9,3.3%,1
165,110.2887748570,-7.5393194372,413,51.696,8478.1,51.708,8493.9,1.2,2.1%,1
166,110.2892432716,-7.5393196112,415.226,51.696,8529.8,51.744,8545.7,2.5,4.3%,1
167,110.2897116862,-7.5393197847,417.53,51.696,8581.5,51.747,8597.4,2.6,4.5%,1
168,110.2901801008,-7.5393199577,417.448,51.696,8633.2,51.696,8649.1,0.1,0.2%,1
169,110.2906485154,-7.5393201302,418.632,51.696,8684.9,51.709,8700.8,1.3,2.3%,1
170,110.2911169301,-7.5393203021,421.021,51.696,8736.6,51.751,8752.6,2.6,4.6%,1
171,110.2915853447,-7.5393204736,422.707,51.696,8788.3,51.723,8804.3,1.9,3.3%,1
172,110.2920537593,-7.5393206446,424.569,51.696,8840,51.729,8856,2.1,3.6%,1
173,110.2925221739,-7.5393208151,425.41,51.696,8891.7,51.703,8907.7,0.9,1.6%,1
174,110.2929905886,-7.5393209851,425.341,51.696,8943.4,51.696,8959.4,0.1,0.1%,1
175,110.2934590032,-7.5393211545,427.34,51.696,8995.1,51.735,9011.1,2.2,3.9%,1
176,110.2939274178,-7.5393213235,430.364,51.696,9046.8,51.784,9062.9,3.3,5.8%,1
177,110.2943958324,-7.5393214920,435.438,51.696,9098.5,51.944,9114.9,5.6,9.8%,1
178,110.2948642471,-7.5393216600,436.395,51.696,9150.2,51.705,9166.6,1.1,1.9%,1
179,110.2953326617,-7.5393218274,438.993,51.696,9201.9,51.761,9218.3,2.9,5.0%,1
180,110.2958010763,-7.5393219944,439.441,51.696,9253.6,51.698,9270,0.5,0.9%,1
181,110.2962694909,-7.5393221609,438.87,51.696,9305.3,51.699,9321.7,0.6,1.1%,1
182,110.2967379056,-7.5393223268,437.183,51.696,9357,51.723,9373.5,1.9,3.3%,1
183,110.2972063202,-7.5393224923,435.381,51.696,9408.6,51.727,9425.2,2.0,3.5%,1
184,110.2976747348,-7.5393226573,437.135,51.696,9460.3,51.726,9476.9,1.9,3.4%,1
185,110.2981431494,-7.5393228217,439.355,51.696,9512,51.744,9528.7,2.5,4.3%,1
186,110.2986115641,-7.5393229857,442.564,51.696,9563.7,51.795,9580.4,3.6,6.2%,1
187,110.2990799787,-7.5393231491,444.202,51.696,9615.4,51.722,9632.2,1.8,3.2%,1
188,110.2995483933,-7.5393233121,446.876,51.696,9667.1,51.765,9683.9,3.0,5.2%,1
189,110.3000168080,-7.5393234745,448.095,51.696,9718.8,51.71,9735.6,1.4,2.4%,1
190,110.3004852226,-7.5393236365,448.312,51.696,9770.5,51.696,9787.3,0.2,0.4%,1
191,110.3009536372,-7.5393237980,450.753,51.696,9822.2,51.753,9839.1,2.7,4.7%,1
192,110.3014220518,-7.5393239589,453.068,51.696,9873.9,51.748,9890.8,2.6,4.5%,1
193,110.3018904665,-7.5393241194,454.372,51.696,9925.6,51.712,9942.6,1.4,2.5%,1
194,110.3023588811,-7.5393242793,455.925,51.696,9977.3,51.719,9994.3,1.7,3.0%,1
195,110.3028272957,-7.5393244388,457.712,51.696,10029,51.727,10046,2.0,3.5%,1
196,110.3032957104,-7.5393245977,459.865,51.696,10080.7,51.741,10097.7,2.4,4.2%,1
197,110.3037641250,-7.5393247561,462.321,51.696,10132.4,51.754,10149.5,2.7,4.8%,1
198,110.3042325396,-7.5393249141,468.044,51.696,10184.1,52.012,10201.5,6.3,11.1%,1
199,110.3047009543,-7.5393250715,471.814,51.696,10235.8,51.833,10253.3,4.2,7.3%,1
200,110.3051693689,-7.5393252285,473.871,51.696,10287.5,51.737,10305.1,2.3,4.0%,1
201,110.3056377835,-7.5393253849,476.709,51.696,10339.2,51.774,10356.8,3.1,5.5%,1
202,110.3061061982,-7.5393255408,478.695,51.696,10390.9,51.734,10408.6,2.2,3.8%,1
203,110.3065746128,-7.5393256963,476.183,51.696,10442.6,51.757,10460.3,2.8,4.9%,1
204,110.3070430274,-7.5393258512,474.484,51.696,10494.3,51.724,10512.1,1.9,3.3%,1
205,110.3075114421,-7.5393260057,476.918,51.696,10546,51.753,10563.8,2.7,4.7%,1
206,110.3079798567,-7.5393261596,479.153,51.696,10597.7,51.744,10615.6,2.5,4.3%,1
207,110.3084482713,-7.5393263130,479.839,51.696,10649.4,51.7,10667.3,0.8,1.3%,1
208,110.3089166860,-7.5393264659,481.849,51.696,10701,51.735,10719,2.2,3.9%,1
209,110.3093851006,-7.5393266184,482.635,51.696,10752.7,51.702,10770.7,0.9,1.5%,1
210,110.3098535152,-7.5393267703,484.793,51.696,10804.4,51.741,10822.4,2.4,4.2%,1
211,110.3103219299,-7.5393269217,486.361,51.696,10856.1,51.72,10874.2,1.7,3.0%,1
212,110.3107903445,-7.5393270727,486.845,51.696,10907.8,51.698,10925.9,0.5,0.9%,1
213,110.3112587591,-7.5393272231,487.683,51.696,10959.5,51.703,10977.6,0.9,1.6%,1
214,110.3117271738,-7.5393273730,490.421,51.696,11011.2,51.768,11029.3,3.0,5.3%,1
215,110.3121955884,-7.5393275224,490.564,51.696,11062.9,51.696,11081,0.2,0.3%,1
216,110.3126640031,-7.5393276713,492.998,51.696,11114.6,51.753,11132.8,2.7,4.7%,1
217,110.3131324177,-7.5393278197,494.652,51.696,11166.3,51.722,11184.5,1.8,3.2%,1
218,110.3136008323,-7.5393279677,497.339,51.696,11218,51.766,11236.3,3.0,5.2%,1
219,110.3140692470,-7.5393281151,502.445,51.696,11269.7,51.947,11288.2,5.6,9.9%,1
220,110.3145376616,-7.5393282620,503.441,51.696,11321.4,51.705,11339.9,1.1,1.9%,1
221,110.3150060762,-7.5393284084,504.217,51.696,11373.1,51.702,11391.6,0.9,1.5%,1
222,110.3154744909,-7.5393285543,506.996,51.696,11424.8,51.77,11443.4,3.1,5.4%,1
223,110.3159429055,-7.5393286997,507.978,51.696,11476.5,51.705,11495.1,1.1,1.9%,1
224,110.3164113202,-7.5393288446,510.631,51.696,11528.2,51.764,11546.9,2.9,5.1%,1
225,110.3168797348,-7.5393289890,511.169,51.696,11579.9,51.699,11598.6,0.6,1.0%,1
226,110.3173481495,-7.5393291329,515.265,51.696,11631.6,51.858,11650.4,4.5,7.9%,1
227,110.3178165641,-7.5393292763,519.508,51.696,11683.3,51.87,11702.3,4.7,8.2%,1
228,110.3182849787,-7.5393294192,522.754,51.696,11735,51.798,11754.1,3.6,6.3%,1
229,110.3187533934,-7.5393295616,522,51.696,11786.7,51.701,11805.8,0.8,1.5%,1
230,110.3192218080,-7.5393297035,522.612,51.696,11838.4,51.699,11857.5,0.7,1.2%,1
231,110.3196902227,-7.5393298449,523.932,51.696,11890.1,51.713,11909.2,1.5,2.6%,1
232,110.3201586373,-7.5393299858,525.412,51.696,11941.7,51.717,11960.9,1.6,2.9%,1
233,110.3206270519,-7.5393301262,525.412,51.696,11993.4,51.696,12012.6,0.0,0.0%,1
234,110.3210954666,-7.5393302661,525.023,51.696,12045.1,51.697,12064.3,0.4,0.8%,1
235,110.3215638812,-7.5393304055,528.261,51.696,12096.8,51.797,12116.1,3.6,6.3%,1
236,110.3220322959,-7.5393305444,533.029,51.696,12148.5,51.915,12168,5.3,9.2%,1
237,110.3225007105,-7.5393306828,536.823,51.696,12200.2,51.835,12219.9,4.2,7.3%,1
238,110.3229691252,-7.5393308207,539.098,51.696,12251.9,51.746,12271.6,2.5,4.4%,1
239,110.3234375398,-7.5393309581,540.226,51.696,12303.6,51.708,12323.3,1.2,2.2%,1
240,110.3239059545,-7.5393310949,540.841,51.696,12355.3,51.7,12375,0.7,1.2%,1
241,110.3243743691,-7.5393312313,540.613,51.696,12407,51.696,12426.7,0.3,0.4%,1
242,110.3248427837,-7.5393313672,539.336,51.696,12458.7,51.712,12478.4,1.4,2.5%,1
243,110.3253111984,-7.5393315026,539.456,51.696,12510.4,51.696,12530.1,0.1,0.2%,1
244,110.3257796130,-7.5393316375,540.946,51.696,12562.1,51.717,12581.8,1.7,2.9%,1
245,110.3262480277,-7.5393317718,544.203,51.696,12613.8,51.798,12633.6,3.6,6.3%,1
246,110.3267164423,-7.5393319057,546.574,51.696,12665.5,51.75,12685.4,2.6,4.6%,1
247,110.3271848570,-7.5393320391,549.079,51.696,12717.2,51.757,12737.1,2.8,4.8%,1
248,110.3276532716,-7.5393321720,548.184,51.696,12768.9,51.704,12788.8,1.0,1.7%,1
249,110.3281216863,-7.5393323043,546.66,51.696,12820.6,51.718,12840.6,1.7,2.9%,1
250,110.3285901009,-7.5393324362,548.523,51.696,12872.3,51.729,12892.3,2.1,3.6%,1
251,110.3290585156,-7.5393325676,551.535,51.696,12924,51.784,12944.1,3.3,5.8%,1
252,110.3295269302,-7.5393326985,553.492,51.696,12975.7,51.733,12995.8,2.2,3.8%,1
253,110.3299953449,-7.5393328288,555.18,51.696,13027.4,51.723,13047.5,1.9,3.3%,1
254,110.3304637595,-7.5393329587,555.867,51.696,13079.1,51.7,13099.2,0.8,1.3%,1
255,110.3309321742,-7.5393330880,558.311,51.696,13130.8,51.754,13151,2.7,4.7%,1
256,110.3314005888,-7.5393332169,561.667,51.696,13182.4,51.805,13202.8,3.7,6.5%,1
257,110.3318690035,-7.5393333453,564.657,51.696,13234.1,51.782,13254.6,3.3,5.8%,1
258,110.3323374181,-7.5393334731,568.781,51.696,13285.8,51.86,13306.4,4.6,8.0%,1
259,110.3328058328,-7.5393336005,571.343,51.696,13337.5,51.759,13358.2,2.8,5.0%,1
260,110.3332742474,-7.5393337273,573.229,51.696,13389.2,51.73,13409.9,2.1,3.6%,1
261,110.3337426621,-7.5393338537,580.621,51.696,13440.9,52.222,13462.1,8.1,14.3%,1
262,110.3342110767,-7.5393339795,586.582,51.696,13492.6,52.038,13514.2,6.6,11.5%,1
263,110.3346794914,-7.5393341049,584.551,51.696,13544.3,51.736,13565.9,2.2,3.9%,1
264,110.3351479060,-7.5393342298,585.713,51.696,13596,51.709,13617.6,1.3,2.2%,1
265,110.3356163207,-7.5393343541,585.06,51.696,13647.7,51.7,13669.3,0.7,1.3%,1
266,110.3360847353,-7.5393344779,587.377,51.696,13699.4,51.748,13721.1,2.6,4.5%,1
267,110.3365531500,-7.5393346013,589.838,51.696,13751.1,51.754,13772.8,2.7,4.8%,1
268,110.3370215646,-7.5393347241,589.673,51.696,13802.8,51.696,13824.5,0.2,0.3%,1
269,110.3374899793,-7.5393348465,592.703,51.696,13854.5,51.785,13876.3,3.4,5.9%,1
270,110.3379583939,-7.5393349683,598.951,51.696,13906.2,52.072,13928.4,6.9,12.1%,1
271,110.3384268086,-7.5393350897,603.204,51.696,13957.9,51.871,13980.2,4.7,8.2%,1
272,110.3388952233,-7.5393352105,604.037,51.696,14009.6,51.703,14032,0.9,1.6%,1
273,110.3393636379,-7.5393353308,607.734,51.696,14061.3,51.828,14083.8,4.1,7.2%,1
274,110.3398320526,-7.5393354507,611.073,51.696,14113,51.804,14135.6,3.7,6.5%,1
275,110.3403004672,-7.5393355700,610.752,51.696,14164.7,51.697,14187.3,0.4,0.6%,1
276,110.3407688819,-7.5393356888,610.692,51.696,14216.4,51.696,14239,0.1,0.1%,1
277,110.3412372965,-7.5393358072,611.569,51.696,14268.1,51.703,14290.7,1.0,1.7%,1
278,110.3417057112,-7.5393359250,614.531,51.696,14319.8,51.781,14342.5,3.3,5.7%,1
279,110.3421741258,-7.5393360423,615.068,51.696,14371.5,51.699,14394.2,0.6,1.0%,1
280,110.3426425405,-7.5393361592,617.539,51.696,14423.2,51.755,14445.9,2.7,4.8%,1
